risk_assessment_id,member_id,attempt,response_outcome,scenario_note
RISK-0001,MEM-0001,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0002,MEM-0002,1,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0003,MEM-0003,1,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0004,MEM-0004,1,interested,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0005,MEM-0005,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0006,MEM-0006,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0007,MEM-0007,1,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0008,MEM-0008,1,needs_support,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0009,MEM-0009,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0010,MEM-0010,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0011,MEM-0011,1,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0012,MEM-0012,1,not_interested,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0013,MEM-0013,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0014,MEM-0014,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0015,MEM-0015,1,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0016,MEM-0016,1,interested,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0017,MEM-0017,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0018,MEM-0018,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0019,MEM-0019,1,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0020,MEM-0020,1,needs_support,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0021,MEM-0021,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0022,MEM-0022,1,not_sent,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0023,MEM-0023,1,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0024,MEM-0024,1,not_interested,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0025,MEM-0025,1,do_not_contact,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0002,MEM-0002,2,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0002,MEM-0002,3,awaiting_response,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
RISK-0003,MEM-0003,2,not_interested,"Product D owns draft review, simulated sending, responses, and completion; Product C is chatbot support only."
